text_id,uid,text_date
633,79,6/15/2020
634,2,6/15/2020
635,9,6/15/2020
636,30,6/15/2020
637,63,6/15/2020
638,97,6/15/2020
639,76,6/15/2020
641,89,6/15/2020
642,11,6/15/2020
643,26,6/15/2020
644,9,6/15/2020
645,26,6/15/2020
646,57,6/15/2020
647,50,6/15/2020
648,7,6/15/2020
649,87,6/15/2020
650,12,6/15/2020
651,6,6/15/2020
652,92,6/15/2020
653,60,6/15/2020
654,10,6/15/2020
656,28,6/15/2020
657,70,6/15/2020
658,3,6/15/2020
659,64,6/15/2020
660,10,6/15/2020
661,30,6/15/2020
662,70,6/15/2020
663,89,6/15/2020
664,57,6/15/2020
665,97,6/15/2020
666,3,6/15/2020
667,84,6/15/2020
668,76,6/15/2020
669,60,6/15/2020
670,44,6/15/2020
671,4,6/15/2020
672,84,6/15/2020
673,73,6/15/2020
674,63,6/15/2020
675,12,6/15/2020
676,10,6/15/2020
677,97,6/15/2020
678,50,6/15/2020
679,3,6/15/2020
680,50,6/15/2020
681,57,6/15/2020
682,78,6/15/2020
683,73,6/15/2020
684,9,6/15/2020
685,98,6/15/2020
686,60,6/15/2020
687,103,6/15/2020
688,64,6/15/2020
690,79,6/15/2020
691,11,6/15/2020
692,28,6/15/2020
693,64,6/15/2020
694,2,6/15/2020
695,97,6/15/2020
696,7,6/15/2020
697,28,6/15/2020
698,87,6/15/2020
699,92,6/15/2020
700,7,6/15/2020
701,64,6/15/2020
702,86,6/15/2020
703,78,6/15/2020
704,72,6/15/2020
705,79,6/15/2020
706,92,6/15/2020
707,86,6/15/2020
708,11,6/15/2020
709,12,6/15/2020
710,64,6/15/2020
711,72,6/15/2020
712,86,6/15/2020
713,27,6/15/2020
714,28,6/15/2020
715,72,6/15/2020
716,89,6/15/2020
717,4,6/15/2020
718,1,6/15/2020
719,28,6/15/2020
720,44,6/15/2020
721,88,6/15/2020
722,6,6/15/2020
723,12,6/15/2020
724,63,6/15/2020
725,11,6/15/2020
726,108,6/15/2020
727,73,6/15/2020
728,6,6/15/2020
729,30,6/15/2020
730,88,6/15/2020
731,2,6/15/2020
732,3,6/15/2020
733,27,6/15/2020
734,7,6/15/2020
735,108,6/15/2020
736,86,6/15/2020
737,78,6/15/2020
738,44,6/15/2020
739,2,6/15/2020
740,11,6/15/2020
741,1,6/15/2020
742,63,6/15/2020
743,57,6/15/2020
744,79,6/15/2020
746,26,6/15/2020
747,1,6/15/2020
748,90,6/15/2020
749,106,6/16/2020
750,109,6/16/2020
751,106,6/16/2020
752,109,6/16/2020
753,106,6/16/2020
754,109,6/16/2020
755,106,6/16/2020
756,109,6/16/2020
757,109,6/16/2020
758,106,6/16/2020
759,12,6/17/2020
760,12,6/17/2020
761,12,6/17/2020
762,12,6/17/2020
763,12,6/17/2020
764,107,6/18/2020
765,44,6/18/2020
766,108,6/18/2020
767,116,6/18/2020
768,106,6/18/2020
769,44,6/18/2020
770,92,6/18/2020
771,90,6/18/2020
772,94,6/18/2020
773,76,6/18/2020
774,89,6/18/2020
775,13,6/18/2020
776,87,6/18/2020
777,61,6/18/2020
778,1,6/18/2020
779,46,6/18/2020
780,110,6/18/2020
781,81,6/18/2020
782,70,6/18/2020
783,30,6/18/2020
784,7,6/18/2020
785,68,6/18/2020
786,79,6/18/2020
787,112,6/18/2020
788,70,6/18/2020
789,65,6/18/2020
790,77,6/18/2020
791,60,6/18/2020
792,83,6/18/2020
793,10,6/18/2020
794,9,6/18/2020
795,75,6/18/2020
796,9,6/18/2020
797,86,6/18/2020
798,68,6/18/2020
799,13,6/18/2020
800,75,6/18/2020
801,112,6/18/2020
802,72,6/18/2020
803,63,6/18/2020
804,66,6/18/2020
805,86,6/18/2020
806,106,6/18/2020
807,46,6/18/2020
808,65,6/18/2020
809,79,6/18/2020
810,81,6/18/2020
811,116,6/18/2020
812,6,6/18/2020
813,77,6/18/2020
814,88,6/18/2020
815,104,6/18/2020
816,28,6/18/2020
817,73,6/18/2020
818,30,6/18/2020
819,109,6/18/2020
820,11,6/18/2020
821,44,6/18/2020
822,89,6/18/2020
823,26,6/18/2020
824,42,6/18/2020
